Watch,strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry,stkClose,diff_oi,diff_oi_d,totalOI,totalOIdiff,OI_pct,cum_sep_OI,pct
685.49,545,3143,3143,44156007,44156007,2026-01-05,2026-01-16,683.17,0,0,1893286815,-26287558,2.33224077039801,60.2849060140949,0
708.73,535,2487,2486,43057431,43189278,2026-01-05,2026-12-18,683.17,-1,131847,2087828623,-18132763,2.06862179798749,50.5012807270053,0.00305277156983268
704.21,685,22163,22289,42419982,42817169,2026-01-05,2026-03-20,683.17,126,397187,1166791798,-16219966,3.66964946731653,28.9912498167904,0.00927634893376533
682.37,555,3237,3237,43369326,41229669,2026-01-05,2026-01-16,683.17,0,-2139656.99999999,1893286815,-26287558,2.17767686719986,62.4625828812947,-0.0518960508754022
682.87,565,3440,3435,42938080,40488345,2026-01-05,2026-01-16,683.17,-5,-2449735,1893286815,-26287558,2.13852146854992,64.6011043498446,-0.0605046958575363
709.15,530,2238,2238,40093770,40093770,2026-01-05,2026-12-18,683.17,0,0,2087828623,-18132763,1.92035733001827,52.4216380570236,0
722.73,605,3399,3399,40016427,40016427,2026-01-05,2026-12-18,683.17,0,0,2087828623,-18132763,1.91665285929936,54.338290916323,0
683.66,620,5416,5396,35079432,34350936,2026-01-05,2026-01-16,683.17,-20,-728496,1893286815,-26287558,1.81435457786146,66.4154589277061,-0.0212074570544453
683.07,590,3689,3680,35857080,34249760,2026-01-05,2026-01-16,683.17,-9,-1607320,1893286815,-26287558,1.80901064374655,68.2244695714527,-0.0469293799431003
681.66,595,3905,3906,34770120,33849396,2026-01-05,2026-01-16,683.17,1,-920724,1893286815,-26287558,1.78786413827109,70.0123337097238,-0.0272006035203701
690.48,590,3366,3367,34669800,33831616,2026-01-05,2026-03-20,683.17,1,-838184,1166791798,-16219966,2.89954180840068,31.8907916251911,-0.0247751688834491
689.46,580,3013,3012,34571162,32969352,2026-01-05,2026-03-20,683.17,-1,-1601810,1166791798,-16219966,2.82564139176439,34.7164330169554,-0.0485848190161579
684.6,645,8151,8150,33468006,32274000,2026-01-05,2026-01-16,683.17,-1,-1194006,1893286815,-26287558,1.70465455863854,71.7169882683623,-0.0369959100204499
684.27,500,1795,1748,33507265,32210396,2026-01-05,2026-01-16,683.17,-47,-1296868.99999999,1893286815,-26287558,1.70129510990124,73.4182833782635,-0.0402624357676321
