strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry.td,diff_oi,diff_oi_d,pct
290,2,6,321.04,994.74,2023-07-21,2023-07-28,4,673.7,0.677262400225184
290,2,2,321.04,321.04,2023-07-21,2023-08-04,0,0,0
290,2,11,321.04,1658.25,2023-07-21,2023-08-18,9,1337.21,0.806398311472938
290,2,2,321.04,315.72,2023-07-21,2023-08-25,0,-5.31999999999999,-0.0168503737488914
290,11,6,1658.25,994.74,2023-07-21,2023-07-28,-5,-663.51,-0.667018517401532
290,11,2,1658.25,321.04,2023-07-21,2023-08-04,-9,-1337.21,-4.16524420632943
290,11,11,1658.25,1658.25,2023-07-21,2023-08-18,0,0,0
290,11,2,1658.25,315.72,2023-07-21,2023-08-25,-9,-1342.53,-4.25228050171038
290,2,6,315.72,994.74,2023-07-21,2023-07-28,4,679.02,0.682610531395138
290,2,2,315.72,321.04,2023-07-21,2023-08-04,0,5.31999999999999,0.0165711437827062
290,2,11,315.72,1658.25,2023-07-21,2023-08-18,9,1342.53,0.809606512890095
290,2,2,315.72,315.72,2023-07-21,2023-08-25,0,0,0
295,3,3,428.34,428.34,2023-07-21,2023-07-28,0,0,0
295,3,3,428.34,446.49,2023-07-21,2023-08-04,0,18.15,0.040650406504065
295,3,8,428.34,1130.8,2023-07-21,2023-08-18,5,702.46,0.621206225680934
295,3,1,428.34,157.97,2023-07-21,2023-08-25,-2,-270.37,-1.71152750522251
295,3,3,446.49,428.34,2023-07-21,2023-07-28,0,-18.15,-0.0423728813559321
295,3,3,446.49,446.49,2023-07-21,2023-08-04,0,0,0
295,3,8,446.49,1130.8,2023-07-21,2023-08-18,5,684.31,0.605155642023346
295,3,1,446.49,157.97,2023-07-21,2023-08-25,-2,-288.52,-1.82642273849465
295,8,3,1130.8,428.34,2023-07-21,2023-07-28,-5,-702.46,-1.63995891114535
295,8,3,1130.8,446.49,2023-07-21,2023-08-04,-5,-684.31,-1.53264350825326
295,8,8,1130.8,1130.8,2023-07-21,2023-08-18,0,0,0
295,8,1,1130.8,157.97,2023-07-21,2023-08-25,-7,-972.83,-6.15832120022789
295,1,3,157.97,428.34,2023-07-21,2023-07-28,2,270.37,0.631204183592473
295,1,3,157.97,446.49,2023-07-21,2023-08-04,2,288.52,0.646195883446438
295,1,8,157.97,1130.8,2023-07-21,2023-08-18,7,972.83,0.860302440749912
295,1,1,157.97,157.97,2023-07-21,2023-08-25,0,0,0
300,21,21,3251.85,3251.85,2023-07-21,2023-07-28,0,0,0
300,21,546,3251.85,82686.24,2023-07-21,2023-08-04,525,79434.39,0.960672416595554
300,21,9,3251.85,1394.64,2023-07-21,2023-08-11,-12,-1857.21,-1.33167699191189
300,21,46,3251.85,7129.54,2023-07-21,2023-08-18,25,3877.69,0.543890629689994
300,21,3,3251.85,456.87,2023-07-21,2023-08-25,-18,-2794.98,-6.11767023442117
300,546,21,82686.24,3251.85,2023-07-21,2023-07-28,-525,-79434.39,-24.427445915402
300,546,546,82686.24,82686.24,2023-07-21,2023-08-04,0,0,0
300,546,9,82686.24,1394.64,2023-07-21,2023-08-11,-537,-81291.6,-58.2885906040269
300,546,46,82686.24,7129.54,2023-07-21,2023-08-18,-500,-75556.7,-10.5976963450657
300,546,3,82686.24,456.87,2023-07-21,2023-08-25,-543,-82229.37,-179.984174929411
300,9,21,1394.64,3251.85,2023-07-21,2023-07-28,12,1857.21,0.571124129341759
300,9,546,1394.64,82686.24,2023-07-21,2023-08-04,537,81291.6,0.983133348426534
300,9,9,1394.64,1394.64,2023-07-21,2023-08-11,0,0,0
300,9,46,1394.64,7129.54,2023-07-21,2023-08-18,37,5734.9,0.804385696692914
300,9,3,1394.64,456.87,2023-07-21,2023-08-25,-6,-937.77,-2.05259701884562
300,41,21,5869.56,3251.85,2023-07-21,2023-07-28,-20,-2617.71,-0.804991005120162
300,41,546,5869.56,82686.24,2023-07-21,2023-08-04,505,76816.68,0.929014065701863
300,41,9,5869.56,1394.64,2023-07-21,2023-08-11,-32,-4474.92,-3.2086559972466
300,41,46,5869.56,7129.54,2023-07-21,2023-08-18,5,1259.98,0.176726689239418
300,41,3,5869.56,456.87,2023-07-21,2023-08-25,-38,-5412.69,-11.8473307505417
300,3,21,456.87,3251.85,2023-07-21,2023-07-28,18,2794.98,0.859504589695097
300,3,546,456.87,82686.24,2023-07-21,2023-08-04,543,82229.37,0.994474655033292
300,3,9,456.87,1394.64,2023-07-21,2023-08-11,6,937.77,0.672410084322836
300,3,46,456.87,7129.54,2023-07-21,2023-08-18,43,6672.67,0.935918726874385
300,3,3,456.87,456.87,2023-07-21,2023-08-25,0,0,0
305,9,9,1351.08,1351.08,2023-07-21,2023-07-28,0,0,0
305,9,2,1351.08,267.2,2023-07-21,2023-08-04,-7,-1083.88,-4.0564371257485
305,9,2,1351.08,281.18,2023-07-21,2023-08-11,-7,-1069.9,-3.80503592005121
305,9,3,1351.08,438.69,2023-07-21,2023-08-18,-6,-912.39,-2.07980578540655
305,9,6,1351.08,905.22,2023-07-21,2023-08-25,-3,-445.86,-0.492543249154902
305,2,9,267.2,1351.08,2023-07-21,2023-07-28,7,1083.88,0.802232288243479
305,2,2,267.2,267.2,2023-07-21,2023-08-04,0,0,0
305,2,2,267.2,281.18,2023-07-21,2023-08-11,0,13.98,0.0497190411835835
305,2,3,267.2,438.69,2023-07-21,2023-08-18,1,171.49,0.390913857165652
305,2,6,267.2,905.22,2023-07-21,2023-08-25,4,638.02,0.704823136916993
305,2,9,281.18,1351.08,2023-07-21,2023-07-28,7,1069.9,0.79188501051011
305,2,2,281.18,267.2,2023-07-21,2023-08-04,0,-13.98,-0.0523203592814372
305,2,2,281.18,281.18,2023-07-21,2023-08-11,0,0,0
305,2,3,281.18,438.69,2023-07-21,2023-08-18,1,157.51,0.359046251339214
305,2,6,281.18,905.22,2023-07-21,2023-08-25,4,624.04,0.689379377388922
305,3,9,438.69,1351.08,2023-07-21,2023-07-28,6,912.39,0.675304201083578
305,3,2,438.69,267.2,2023-07-21,2023-08-04,-1,-171.49,-0.641803892215569
305,3,2,438.69,281.18,2023-07-21,2023-08-11,-1,-157.51,-0.560174976883135
305,3,3,438.69,438.69,2023-07-21,2023-08-18,0,0,0
305,3,6,438.69,905.22,2023-07-21,2023-08-25,3,466.53,0.515377477298336
305,6,9,905.22,1351.08,2023-07-21,2023-07-28,3,445.86,0.330002664535039
305,6,2,905.22,267.2,2023-07-21,2023-08-04,-4,-638.02,-2.3877994011976
305,6,2,905.22,281.18,2023-07-21,2023-08-11,-4,-624.04,-2.21936126324774
305,6,3,905.22,438.69,2023-07-21,2023-08-18,-3,-466.53,-1.06346166997196
305,6,6,905.22,905.22,2023-07-21,2023-08-25,0,0,0
310,9,9,1310.94,1310.94,2023-07-21,2023-07-28,0,0,0
310,9,39,1310.94,5344.95,2023-07-21,2023-08-04,30,4034.01,0.754732972244829
310,9,3,1310.94,414.45,2023-07-21,2023-08-11,-6,-896.49,-2.16308360477742
310,9,20,1310.94,2888,2023-07-21,2023-08-18,11,1577.06,0.546073407202216
310,9,7,1310.94,1014.23,2023-07-21,2023-08-25,-2,-296.71,-0.292547055401635
310,39,9,5344.95,1310.94,2023-07-21,2023-07-28,-30,-4034.01,-3.07718888736327
310,39,39,5344.95,5344.95,2023-07-21,2023-08-04,0,0,0
310,39,3,5344.95,414.45,2023-07-21,2023-08-11,-36,-4930.5,-11.8964893231994
310,39,20,5344.95,2888,2023-07-21,2023-08-18,-19,-2456.95,-0.850744459833795
310,39,7,5344.95,1014.23,2023-07-21,2023-08-25,-32,-4330.72,-4.26995849067766
310,3,9,414.45,1310.94,2023-07-21,2023-07-28,6,896.49,0.683852807908829
310,3,39,414.45,5344.95,2023-07-21,2023-08-04,36,4930.5,0.922459517862655
310,3,3,414.45,414.45,2023-07-21,2023-08-11,0,0,0
310,3,20,414.45,2888,2023-07-21,2023-08-18,17,2473.55,0.856492382271468
310,3,7,414.45,1014.23,2023-07-21,2023-08-25,4,599.78,0.591364877789062
310,19,9,2624.28,1310.94,2023-07-21,2023-07-28,-10,-1313.34,-1.00183074740263
310,19,39,2624.28,5344.95,2023-07-21,2023-08-04,20,2720.67,0.509016922515646
310,19,3,2624.28,414.45,2023-07-21,2023-08-11,-16,-2209.83,-5.33195801664857
310,19,20,2624.28,2888,2023-07-21,2023-08-18,1,263.72,0.0913157894736841
310,19,7,2624.28,1014.23,2023-07-21,2023-08-25,-12,-1610.05,-1.58746043796772
310,7,9,1014.23,1310.94,2023-07-21,2023-07-28,2,296.71,0.226333775763956
310,7,39,1014.23,5344.95,2023-07-21,2023-08-04,32,4330.72,0.81024518470706
310,7,3,1014.23,414.45,2023-07-21,2023-08-11,-4,-599.78,-1.44717094945108
310,7,20,1014.23,2888,2023-07-21,2023-08-18,13,1873.77,0.648812326869806
310,7,7,1014.23,1014.23,2023-07-21,2023-08-25,0,0,0
315,34,34,4788.22,4788.22,2023-07-21,2023-07-28,0,0,0
315,34,84,4788.22,10892.28,2023-07-21,2023-08-04,50,6104.06,0.560402413452464
315,34,2,4788.22,271.82,2023-07-21,2023-08-11,-32,-4516.4,-16.615407254801
