Date.td,expiry,totalOI,totalOIdiff,totalOI_itm,totalOIdiff_itm,OI_diff_pct,ITM_pct,OI_ITM_diff_pct
2023-08-07,2023-09-22,$1.13M,$0.88M,$0.24M,$0.20M,78.0%,22%,83%
2023-08-07,2023-09-29,$298.87M,($22.78)M,$233.60M,($8.11)M,-8.0%,78%,-4%
2023-08-07,2023-10-20,$481.70M,($33.26)M,$382.87M,($16.87)M,-7.0%,80%,-4%
2023-08-07,2023-11-17,$121.78M,($11.50)M,$76.37M,($4.81)M,-9.0%,63%,-6%
2023-08-07,2023-12-15,"$1,287.11M",($38.47)M,"$1,032.03M",($14.87)M,-3.0%,80%,-1%
2023-08-08,2023-08-11,$84.72M,$20.23M,$74.90M,$16.80M,24%,88%,22%
2023-08-08,2023-08-18,"$2,005.83M",$165.01M,"$1,957.54M",$150.39M,8%,98%,8%
2023-08-08,2023-08-25,$73.76M,$9.55M,$57.05M,$6.94M,13%,77%,12%
2023-08-08,2023-09-01,$102.33M,$13.29M,$79.10M,$7.43M,13%,77%,9%
2023-08-08,2023-09-08,$20.79M,$5.67M,$10.46M,$3.18M,27%,50%,30%
2023-08-08,2023-09-15,"$2,057.34M",$126.94M,"$1,926.18M",$99.94M,6%,94%,5%
2023-08-08,2023-09-22,$2.82M,$1.69M,$0.63M,$0.22M,60%,22%,34%
2023-08-08,2023-09-29,$314.08M,$15.22M,$271.70M,$9.13M,5%,86%,3%
2023-08-08,2023-10-20,$512.23M,$30.53M,$438.83M,$19.54M,6%,86%,4%
2023-08-08,2023-11-17,$136.32M,$14.54M,$96.46M,$5.81M,11%,71%,6%
2023-08-08,2023-12-15,"$1,318.46M",$31.35M,"$1,109.20M",$13.62M,2%,84%,1%
2023-08-09,2023-08-11,$79.59M,($5.12)M,$70.28M,$0.47M,-6%,88%,1%
2023-08-09,2023-08-18,"$1,849.53M",($156.30)M,"$1,793.90M",($131.48)M,-9%,97%,-7%
2023-08-09,2023-08-25,$67.41M,($6.35)M,$48.59M,($3.44)M,-9%,72%,-7%
2023-08-09,2023-09-01,$93.98M,($8.36)M,$68.74M,($2.91)M,-9%,73%,-4%
2023-08-09,2023-09-08,$30.96M,$10.17M,$16.01M,$7.70M,33%,52%,48%
2023-08-09,2023-09-15,"$1,949.15M",($108.19)M,"$1,787.11M",($84.97)M,-6%,92%,-5%
2023-08-09,2023-09-22,$3.94M,$1.12M,$1.03M,$0.58M,28%,26%,56%
2023-08-09,2023-09-29,$292.27M,($21.82)M,$225.90M,($12.42)M,-7%,77%,-6%
2023-08-09,2023-10-20,$490.67M,($21.56)M,$387.86M,($10.46)M,-4%,79%,-3%
2023-08-09,2023-11-17,$138.02M,$1.69M,$82.87M,$4.71M,1%,60%,6%
2023-08-09,2023-12-15,"$1,277.94M",($40.52)M,"$1,019.01M",($31.95)M,-3%,80%,-3%
2023-08-10,2023-08-11,$71.01M,($8.59)M,$54.85M,($2.32)M,-12%,77%,-4%
2023-08-10,2023-08-18,"$1,688.37M",($161.16)M,"$1,634.54M",($137.10)M,-10%,97%,-8%
2023-08-10,2023-08-25,$55.78M,($11.63)M,$35.77M,($6.30)M,-21%,64%,-18%
2023-08-10,2023-09-01,$86.42M,($7.56)M,$60.42M,($1.00)M,-9%,70%,-2%
2023-08-10,2023-09-08,$50.19M,$19.23M,$23.68M,$11.87M,38%,47%,50%
2023-08-10,2023-09-15,"$1,848.77M",($100.38)M,"$1,684.00M",($67.15)M,-5%,91%,-4%
2023-08-10,2023-09-22,$6.37M,$2.43M,$0.83M,$0.13M,38%,13%,15%
2023-08-10,2023-09-29,$278.92M,($13.35)M,$221.20M,($3.06)M,-5%,79%,-1%
2023-08-10,2023-10-20,$468.21M,($22.46)M,$376.97M,($8.30)M,-5%,80%,-2%
2023-08-10,2023-11-17,$129.47M,($8.54)M,$79.91M,($2.96)M,-7%,62%,-4%
