strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry.td,diff_oi,diff_oi_d,pct
290,902,11463,9.02,229.26,2023-07-21,2023-08-18,10561,220.24,0.960656023728518
290,902,0,9.02,0,2023-07-21,2023-08-25,-902,-9.02,-Inf
290,4254,902,42.54,9.02,2023-07-21,2023-07-28,-3352,-33.52,-3.71618625277162
290,4254,4254,42.54,42.54,2023-07-21,2023-08-04,0,0,0
290,4254,11463,42.54,229.26,2023-07-21,2023-08-18,7209,186.72,0.814446479979063
290,4254,0,42.54,0,2023-07-21,2023-08-25,-4254,-42.54,-Inf
290,11463,902,229.26,9.02,2023-07-21,2023-07-28,-10561,-220.24,-24.4168514412417
290,11463,4254,229.26,42.54,2023-07-21,2023-08-04,-7209,-186.72,-4.38928067700987
290,11463,11463,229.26,229.26,2023-07-21,2023-08-18,0,0,0
290,11463,0,229.26,0,2023-07-21,2023-08-25,-11463,-229.26,-Inf
290,0,902,0,9.02,2023-07-21,2023-07-28,902,9.02,1
290,0,4254,0,42.54,2023-07-21,2023-08-04,4254,42.54,1
290,0,11463,0,229.26,2023-07-21,2023-08-18,11463,229.26,1
290,0,0,0,0,2023-07-21,2023-08-25,0,0,
295,488,488,4.88,4.88,2023-07-21,2023-07-28,0,0,0
295,488,3256,4.88,32.56,2023-07-21,2023-08-04,2768,27.68,0.85012285012285
295,488,9497,4.88,189.94,2023-07-21,2023-08-18,9009,185.06,0.974307676108245
295,488,0,4.88,0,2023-07-21,2023-08-25,-488,-4.88,-Inf
295,3256,488,32.56,4.88,2023-07-21,2023-07-28,-2768,-27.68,-5.67213114754098
295,3256,3256,32.56,32.56,2023-07-21,2023-08-04,0,0,0
295,3256,9497,32.56,189.94,2023-07-21,2023-08-18,6241,157.38,0.828577445509108
295,3256,0,32.56,0,2023-07-21,2023-08-25,-3256,-32.56,-Inf
295,9496,488,189.92,4.88,2023-07-21,2023-07-28,-9008,-185.04,-37.9180327868853
295,9496,3256,189.92,32.56,2023-07-21,2023-08-04,-6240,-157.36,-4.83292383292383
295,9496,9497,189.92,189.94,2023-07-21,2023-08-18,1,0.0199999999999818,0.000105296409392344
295,9496,0,189.92,0,2023-07-21,2023-08-25,-9496,-189.92,-Inf
295,0,488,0,4.88,2023-07-21,2023-07-28,488,4.88,1
295,0,3256,0,32.56,2023-07-21,2023-08-04,3256,32.56,1
295,0,9497,0,189.94,2023-07-21,2023-08-18,9497,189.94,1
295,0,0,0,0,2023-07-21,2023-08-25,0,0,
300,6056,6056,60.56,60.56,2023-07-21,2023-07-28,0,0,0
300,6056,3203,60.56,32.03,2023-07-21,2023-08-04,-2853,-28.53,-0.890727443022167
300,6056,1399,60.56,13.99,2023-07-21,2023-08-11,-4657,-46.57,-3.32880629020729
300,6056,34859,60.56,1394.36,2023-07-21,2023-08-18,28803,1333.8,0.956567887776471
300,6056,825,60.56,49.5,2023-07-21,2023-08-25,-5231,-11.06,-0.223434343434344
300,3223,6056,32.23,60.56,2023-07-21,2023-07-28,2833,28.33,0.467800528401585
300,3223,3203,32.23,32.03,2023-07-21,2023-08-04,-20,-0.200000000000003,-0.00624414611301913
